scientific_name,color,planttype,maintenance
cyclamen,rose,"Bulbs, Perennials",low
cyclamen,purple,"Bulbs, Perennials",low
cyclamen,pink,"Bulbs, Perennials",low
cyclamen,white,"Bulbs, Perennials",low
cymbidium,yellow,Perennials,low
cymbidium,red,Perennials,low
cymbidium,pink,Perennials,low
cymbidium,brown,Perennials,low
cymbidium,white,Perennials,low
cymbidium,green,Perennials,low
cymbidium,orange,Perennials,low
dahlia,blue,"Bulbs, Perennials",medium
datura,purple,"Annuals, Perennials",low
datura,yellow,"Annuals, Perennials",low
datura,white,"Annuals, Perennials",low
datura,pink,"Annuals, Perennials",low
delosperma,yellow,"Cactus - Succulents, Perennials",low
delosperma,red,"Cactus - Succulents, Perennials",low
delosperma,purple,"Cactus - Succulents, Perennials",low
delosperma,pink,"Cactus - Succulents, Perennials",low
delosperma,white,"Cactus - Succulents, Perennials",low
delosperma,orange,"Cactus - Succulents, Perennials",low
delphinium,yellow,Perennials,medium
delphinium,red,Perennials,medium
delphinium,blue,Perennials,medium
delphinium,pink,Perennials,medium
delphinium,violet,Perennials,medium
delphinium,white,Perennials,medium
deutzia,white,Shrubs,low
deutzia,red,Shrubs,low
deutzia,pink,Shrubs,low
dianthus,purple,"Annuals, Perennials, Shrubs",low
dianthus,pink,"Annuals, Perennials, Shrubs",low
dianthus,red,"Annuals, Perennials, Shrubs",low
dianthus,white,"Annuals, Perennials, Shrubs",low
diascia,yellow,"Annuals, Perennials",low
diascia,purple,"Annuals, Perennials",low
diascia,pink,"Annuals, Perennials",low
diascia,white,"Annuals, Perennials",low
diascia,orange,"Annuals, Perennials",low
dicentra,pink,Perennials,low
dicentra,red,Perennials,low
dicentra,white,Perennials,low
dietes,purple,Perennials,low
dietes,yellow,Perennials,low
dietes,white,Perennials,low
dietes,brown,Perennials,low
digitalis,yellow,Perennials,low
digitalis,red,Perennials,low
digitalis,purple,Perennials,low
digitalis,pink,Perennials,low
digitalis,white,Perennials,low
dracula,yellow,Perennials,medium
dracula,red,Perennials,medium
dracula,purple,Perennials,medium
dracula,black,Perennials,medium
dracula,lavender,Perennials,medium
dracula,white,Perennials,medium
dryas,yellow,"Perennials, Shrubs",medium
dryas,white,"Perennials, Shrubs",medium
dryas,cream,"Perennials, Shrubs",medium
echinacea,yellow,Perennials,low
echinacea,red,Perennials,low
echinacea,purple,Perennials,low
echinacea,pink,Perennials,low
echinacea,brown,Perennials,low
echinacea,white,Perennials,low
echinacea,orange,Perennials,low
echinops,purple,Perennials,low
echinops,blue,Perennials,low
echinops,white,Perennials,low
echinops,green,Perennials,low
echinops,gray,Perennials,low
emilia,purple,Annuals,low
emilia,orange,Annuals,low
emilia,red,Annuals,low
epimedium,yellow,Perennials,low
epimedium,red,Perennials,low
epimedium,purple,Perennials,low
epimedium,pink,Perennials,low
epimedium,white,Perennials,low
epimedium,orange,Perennials,low
epiphyllum,yellow,Cactus - Succulents,medium
epiphyllum,red,Cactus - Succulents,medium
epiphyllum,purple,Cactus - Succulents,medium
epiphyllum,pink,Cactus - Succulents,medium
epiphyllum,white,Cactus - Succulents,medium
epiphyllum,orange,Cactus - Succulents,medium
eranthis,yellow,"Bulbs, Perennials",low
eranthis,white,"Bulbs, Perennials",low
eremurus,yellow,Perennials,low
eremurus,orange,Perennials,low
eremurus,pink,Perennials,low
eremurus,white,Perennials,low
eryngium,purple,"Annuals, Perennials",low
eryngium,blue,"Annuals, Perennials",low
eryngium,green,"Annuals, Perennials",low
erysimum,yellow,"Annuals, Perennials, Shrubs",low
erysimum,orange,"Annuals, Perennials, Shrubs",low
erysimum,red,"Annuals, Perennials, Shrubs",low
erythronium,yellow,"Bulbs, Perennials",low
erythronium,red,"Bulbs, Perennials",low
erythronium,purple,"Bulbs, Perennials",low
erythronium,pink,"Bulbs, Perennials",low
erythronium,white,"Bulbs, Perennials",low
eschscholzia,yellow,"Annuals, Perennials",low
eschscholzia,orange,"Annuals, Perennials",low
euphorbia,yellow,"Annuals, Cactus - Succulents, Perennials, Shrubs, Trees",low
eustoma,purple,"Annuals, Perennials",medium
eustoma,blue,"Annuals, Perennials",medium
eustoma,pink,"Annuals, Perennials",medium
eustoma,white,"Annuals, Perennials",medium
eustoma,cream,"Annuals, Perennials",medium
eustoma,lilac,"Annuals, Perennials",medium
felicia,yellow,"Annuals, Perennials, Shrubs",low
felicia,purple,"Annuals, Perennials, Shrubs",low
felicia,blue,"Annuals, Perennials, Shrubs",low
felicia,white,"Annuals, Perennials, Shrubs",low
felicia,lilac,"Annuals, Perennials, Shrubs",low
forsythia,yellow,Shrubs,low
freesia,yellow,"Bulbs, Perennials",low
freesia,red,"Bulbs, Perennials",low
freesia,purple,"Bulbs, Perennials",low
freesia,pink,"Bulbs, Perennials",low
freesia,lavender,"Bulbs, Perennials",low
freesia,white,"Bulbs, Perennials",low
freesia,orange,"Bulbs, Perennials",low
fritillaria,yellow,"Bulbs, Perennials",low
fritillaria,orange,"Bulbs, Perennials",low
fritillaria,red,"Bulbs, Perennials",low
fritillaria,green,"Bulbs, Perennials",low
fuchsia,yellow,"Shrubs, Trees",low
fuchsia,red,"Shrubs, Trees",low
fuchsia,fuchsia,"Shrubs, Trees",low
fuchsia,purple,"Shrubs, Trees",low
fuchsia,white,"Shrubs, Trees",low
fuchsia,orange,"Shrubs, Trees",low
gaillardia,yellow,"Annuals, Perennials",low
gaillardia,red,"Annuals, Perennials",low
gaillardia,purple,"Annuals, Perennials",low
gaillardia,brown,"Annuals, Perennials",low
gaillardia,orange,"Annuals, Perennials",low
galanthus,white,"Bulbs, Perennials",low
gardenia,yellow,"Shrubs, Trees",hard
gardenia,white,"Shrubs, Trees",hard
gardenia,cream,"Shrubs, Trees",hard
gazania,yellow,"Annuals, Perennials",low
gazania,red,"Annuals, Perennials",low
gazania,pink,"Annuals, Perennials",low
gazania,white,"Annuals, Perennials",low
gazania,orange,"Annuals, Perennials",low
gentiana,yellow,"Annuals, Perennials",low
gentiana,red,"Annuals, Perennials",low
gentiana,purple,"Annuals, Perennials",low
gentiana,blue,"Annuals, Perennials",low
gentiana,white,"Annuals, Perennials",low
geranium,red,"Annuals, Perennials",low
geranium,purple,"Annuals, Perennials",low
geranium,blue,"Annuals, Perennials",low
geranium,pink,"Annuals, Perennials",low
geranium,white,"Annuals, Perennials",low
gerbera,blue,Perennials,low
geum,yellow,Perennials,low
geum,red,Perennials,low
geum,pink,Perennials,low
geum,white,Perennials,low
geum,orange,Perennials,low
gladiolus,yellow,"Bulbs, Perennials",low
gladiolus,red,"Bulbs, Perennials",low
gladiolus,purple,"Bulbs, Perennials",low
gladiolus,pink,"Bulbs, Perennials",low
gladiolus,lavender,"Bulbs, Perennials",low
gladiolus,white,"Bulbs, Perennials",low
gladiolus,green,"Bulbs, Perennials",low
gloriosa,yellow,"Annuals, Bulbs, Climbers, Perennials",medium
gloriosa,orange,"Annuals, Bulbs, Climbers, Perennials",medium
gloriosa,red,"Annuals, Bulbs, Climbers, Perennials",medium
gloriosa,pink,"Annuals, Bulbs, Climbers, Perennials",medium
gomphrena,yellow,"Annuals, Perennials",low
gomphrena,red,"Annuals, Perennials",low
gomphrena,purple,"Annuals, Perennials",low
gomphrena,pink,"Annuals, Perennials",low
gomphrena,white,"Annuals, Perennials",low
gomphrena,orange,"Annuals, Perennials",low
grevillea,yellow,"Shrubs, Trees",low
grevillea,red,"Shrubs, Trees",low
grevillea,purple,"Shrubs, Trees",low
grevillea,white,"Shrubs, Trees",low
grevillea,orange,"Shrubs, Trees",low
gypsophila,white,"Annuals, Perennials",low
gypsophila,pink,"Annuals, Perennials",low
hamamelis,yellow,"Shrubs, Trees",low
hamamelis,red,"Shrubs, Trees",low
helenium,brown,"Annuals, Perennials",medium
helenium,yellow,"Annuals, Perennials",medium
helenium,orange,"Annuals, Perennials",medium
helenium,red,"Annuals, Perennials",medium
helianthus,yellow,"Annuals, Perennials",low
helianthus,red,"Annuals, Perennials",low
helianthus,purple,"Annuals, Perennials",low
helianthus,brown,"Annuals, Perennials",low
helianthus,cream,"Annuals, Perennials",low
helianthus,orange,"Annuals, Perennials",low
heliconia,yellow,Perennials,low
heliconia,red,Perennials,low
heliconia,pink,Perennials,low
heliconia,green,Perennials,low
heliconia,orange,Perennials,low
helleborus,yellow,Perennials,low
helleborus,purple,Perennials,low
helleborus,black,Perennials,low
helleborus,pink,Perennials,low
helleborus,green,Perennials,low
helleborus,white,Perennials,low
hibiscus,yellow,"Annuals, Perennials, Shrubs, Trees",low
hibiscus,red,"Annuals, Perennials, Shrubs, Trees",low
hibiscus,purple,"Annuals, Perennials, Shrubs, Trees",low
hibiscus,pink,"Annuals, Perennials, Shrubs, Trees",low
hibiscus,blue,"Annuals, Perennials, Shrubs, Trees",low
hibiscus,white,"Annuals, Perennials, Shrubs, Trees",low
hibiscus,orange,"Annuals, Perennials, Shrubs, Trees",low
hippeastrum,yellow,Bulbs,low
hippeastrum,red,Bulbs,low
hippeastrum,pink,Bulbs,low
hippeastrum,white,Bulbs,low
hippeastrum,green,Bulbs,low
hippeastrum,orange,Bulbs,low
hosta,lavender,Perennials,low
hosta,white,Perennials,low
hosta,purple,Perennials,low
hoya,red,"Climbers, Perennials, Shrubs",low
hoya,purple,"Climbers, Perennials, Shrubs",low
hoya,pink,"Climbers, Perennials, Shrubs",low
hoya,white,"Climbers, Perennials, Shrubs",low
hoya,green,"Climbers, Perennials, Shrubs",low
hoya,orange,"Climbers, Perennials, Shrubs",low
hyacinthus,yellow,Bulbs,low
hyacinthus,red,Bulbs,low
hyacinthus,purple,Bulbs,low
hyacinthus,blue,Bulbs,low
hyacinthus,pink,Bulbs,low
hyacinthus,white,Bulbs,low
hyacinthus,orange,Bulbs,low
hydrangea,red,"Climbers, Shrubs, Trees",low
hydrangea,purple,"Climbers, Shrubs, Trees",low
hydrangea,blue,"Climbers, Shrubs, Trees",low
hydrangea,pink,"Climbers, Shrubs, Trees",low
hydrangea,white,"Climbers, Shrubs, Trees",low
hypericum,yellow,"Annuals, Perennials, Shrubs, Trees",low
hypoxis,yellow,Perennials,low
hyssopus,purple,"Perennials, Shrubs",low
hyssopus,blue,"Perennials, Shrubs",low
hyssopus,pink,"Perennials, Shrubs",low
hyssopus,white,"Perennials, Shrubs",low
iberis,lilac,"Annuals, Perennials, Shrubs",medium
iberis,white,"Annuals, Perennials, Shrubs",medium
iberis,pink,"Annuals, Perennials, Shrubs",medium
impatiens,yellow,"Annuals, Perennials",low
impatiens,red,"Annuals, Perennials",low
impatiens,purple,"Annuals, Perennials",low
impatiens,blue,"Annuals, Perennials",low
impatiens,pink,"Annuals, Perennials",low
impatiens,white,"Annuals, Perennials",low
impatiens,orange,"Annuals, Perennials",low
ipomoea,yellow,"Annuals, Climbers, Perennials, Shrubs, Trees",low
ipomoea,red,"Annuals, Climbers, Perennials, Shrubs, Trees",low
ipomoea,purple,"Annuals, Climbers, Perennials, Shrubs, Trees",low
ipomoea,blue,"Annuals, Climbers, Perennials, Shrubs, Trees",low
ipomoea,white,"Annuals, Climbers, Perennials, Shrubs, Trees",low
iris,yellow,Perennials,low
iris,red,Perennials,low
iris,purple,Perennials,low
iris,black,Perennials,low
iris,blue,Perennials,low
iris,pink,Perennials,low
iris,brown,Perennials,low
iris,white,Perennials,low
iris,orange,Perennials,low
ixora,yellow,"Shrubs, Trees",low
ixora,red,"Shrubs, Trees",low
ixora,pink,"Shrubs, Trees",low
ixora,white,"Shrubs, Trees",low
ixora,orange,"Shrubs, Trees",low
jacaranda,purple,"Shrubs, Trees",low
jacaranda,blue,"Shrubs, Trees",low
jasione,purple,"Annuals, Perennials",low
jasione,blue,"Annuals, Perennials",low
jasminum,yellow,"Climbers, Shrubs",low
jasminum,white,"Climbers, Shrubs",low
justicia,yellow,"Perennials, Shrubs",low
justicia,red,"Perennials, Shrubs",low
justicia,pink,"Perennials, Shrubs",low
justicia,white,"Perennials, Shrubs",low
justicia,cream,"Perennials, Shrubs",low
justicia,orange,"Perennials, Shrubs",low
kalanchoe,orange,"Cactus - Succulents, Perennials, Shrubs",low
kalanchoe,red,"Cactus - Succulents, Perennials, Shrubs",low
kalanchoe,pink,"Cactus - Succulents, Perennials, Shrubs",low
kalanchoe,white,"Cactus - Succulents, Perennials, Shrubs",low
kalmia,purple,Shrubs,low
kalmia,pink,Shrubs,low
kalmia,white,Shrubs,low
kalmia,lavender,Shrubs,low
kerria,yellow,Shrubs,low
kniphofia,yellow,Perennials,low
kniphofia,orange,Perennials,low
kniphofia,red,Perennials,low
kniphofia,cream,Perennials,low
kolkwitzia,yellow,Shrubs,low
kolkwitzia,pink,Shrubs,low
kolkwitzia,white,Shrubs,low
kunzea,yellow,"Shrubs, Trees",low
kunzea,red,"Shrubs, Trees",low
kunzea,purple,"Shrubs, Trees",low
kunzea,pink,"Shrubs, Trees",low
kunzea,white,"Shrubs, Trees",low
lantana,yellow,"Annuals, Perennials, Shrubs",low
lantana,red,"Annuals, Perennials, Shrubs",low
lantana,pink,"Annuals, Perennials, Shrubs",low
lantana,lavender,"Annuals, Perennials, Shrubs",low
lantana,white,"Annuals, Perennials, Shrubs",low
lantana,orange,"Annuals, Perennials, Shrubs",low
lathyrus,yellow,"Annuals, Climbers, Perennials",low
lathyrus,red,"Annuals, Climbers, Perennials",low
lathyrus,magenta,"Annuals, Climbers, Perennials",low
lathyrus,purple,"Annuals, Climbers, Perennials",low
lathyrus,pink,"Annuals, Climbers, Perennials",low
lathyrus,blue,"Annuals, Climbers, Perennials",low
lathyrus,lavender,"Annuals, Climbers, Perennials",low
lathyrus,white,"Annuals, Climbers, Perennials",low
lathyrus,cream,"Annuals, Climbers, Perennials",low
lathyrus,scarlet,"Annuals, Climbers, Perennials",low
lavandula,purple,"Herbs, Perennials, Shrubs",medium
lavandula,blue,"Herbs, Perennials, Shrubs",medium
lavandula,pink,"Herbs, Perennials, Shrubs",medium
lavandula,lavender,"Herbs, Perennials, Shrubs",medium
lavandula,white,"Herbs, Perennials, Shrubs",medium
leontopodium,yellow,Perennials,low
leucojum,white,"Bulbs, Perennials",low
leucojum,green,"Bulbs, Perennials",low
lewisia,red,Perennials,low
lewisia,purple,Perennials,low
lewisia,pink,Perennials,low
lewisia,white,Perennials,low
lewisia,orange,Perennials,low
liatris,rose,Perennials,low
liatris,purple,Perennials,low
liatris,pink,Perennials,low
liatris,lavender,Perennials,low
liatris,violet,Perennials,low
liatris,white,Perennials,low
lilium,orange,"Bulbs, Perennials",low
lilium,yellow,"Bulbs, Perennials",low
lilium,white,"Bulbs, Perennials",low
lilium,red,"Bulbs, Perennials",low
limonium,yellow,"Annuals, Perennials, Shrubs",low
limonium,purple,"Annuals, Perennials, Shrubs",low
limonium,blue,"Annuals, Perennials, Shrubs",low
limonium,pink,"Annuals, Perennials, Shrubs",low
limonium,white,"Annuals, Perennials, Shrubs",low
lobelia,red,"Annuals, Perennials, Shrubs",low
lobelia,purple,"Annuals, Perennials, Shrubs",low
lobelia,blue,"Annuals, Perennials, Shrubs",low
lobelia,pink,"Annuals, Perennials, Shrubs",low
lobelia,white,"Annuals, Perennials, Shrubs",low
lonicera,yellow,"Climbers, Shrubs",low
lonicera,red,"Climbers, Shrubs",low
lonicera,pink,"Climbers, Shrubs",low
lonicera,white,"Climbers, Shrubs",low
lonicera,orange,"Climbers, Shrubs",low
lupinus,yellow,"Annuals, Perennials",low
lupinus,purple,"Annuals, Perennials",low
lupinus,blue,"Annuals, Perennials",low
lupinus,pink,"Annuals, Perennials",low
lupinus,white,"Annuals, Perennials",low
lycoris,yellow,"Bulbs, Perennials",low
lycoris,red,"Bulbs, Perennials",low
lycoris,pink,"Bulbs, Perennials",low
lycoris,white,"Bulbs, Perennials",low
lycoris,orange,"Bulbs, Perennials",low
magnolia,purple,"Shrubs, Trees",low
magnolia,yellow,"Shrubs, Trees",low
magnolia,white,"Shrubs, Trees",low
magnolia,pink,"Shrubs, Trees",low
malva,purple,"Annuals, Perennials",low
malva,pink,"Annuals, Perennials",low
malva,white,"Annuals, Perennials",low
mandevilla,yellow,"Annuals, Climbers, Perennials",medium
mandevilla,pink,"Annuals, Climbers, Perennials",medium
mandevilla,red,"Annuals, Climbers, Perennials",medium
mandevilla,white,"Annuals, Climbers, Perennials",medium
mimosa,purple,"Annuals, Perennials, Shrubs, Trees",medium
mimosa,pink,"Annuals, Perennials, Shrubs, Trees",medium
mimosa,white,"Annuals, Perennials, Shrubs, Trees",medium
monarda,purple,Perennials,low
monarda,pink,Perennials,low
monarda,red,Perennials,low
monarda,white,Perennials,low
muscari,yellow,Bulbs,low
muscari,blue,Bulbs,low
muscari,pink,Bulbs,low
muscari,white,Bulbs,low
myosotis,yellow,Perennials,low
myosotis,blue,Perennials,low
myosotis,pink,Perennials,low
myosotis,white,Perennials,low
myrtus,white,"Shrubs, Trees",low
narcissus,yellow,"Bulbs, Perennials",low
narcissus,white,"Bulbs, Perennials",low
nelumbo,yellow,Perennials,low
nelumbo,white,Perennials,low
nelumbo,pink,Perennials,low
nemesia,yellow,"Annuals, Perennials, Shrubs",low
nemesia,red,"Annuals, Perennials, Shrubs",low
nemesia,purple,"Annuals, Perennials, Shrubs",low
nemesia,blue,"Annuals, Perennials, Shrubs",low
nemesia,pink,"Annuals, Perennials, Shrubs",low
nemesia,white,"Annuals, Perennials, Shrubs",low
nemesia,cream,"Annuals, Perennials, Shrubs",low
nemesia,orange,"Annuals, Perennials, Shrubs",low
nemophila,purple,Annuals,low
nemophila,blue,Annuals,low
nepeta,yellow,Perennials,low
nepeta,purple,Perennials,low
nepeta,blue,Perennials,low
nepeta,pink,Perennials,low
nepeta,white,Perennials,low
nerine,orange,"Bulbs, Perennials",medium
nerine,pink,"Bulbs, Perennials",medium
nerine,red,"Bulbs, Perennials",medium
nerine,white,"Bulbs, Perennials",medium
nerium,yellow,"Shrubs, Trees",low
nerium,red,"Shrubs, Trees",low
nerium,purple,"Shrubs, Trees",low
nerium,pink,"Shrubs, Trees",low
nerium,white,"Shrubs, Trees",low
nerium,cream,"Shrubs, Trees",low
nigella,yellow,Annuals,low
nigella,blue,Annuals,low
nigella,pink,Annuals,low
nigella,white,Annuals,low
obregonia,yellow,Cactus - Succulents,medium
obregonia,white,Cactus - Succulents,medium
obregonia,pink,Cactus - Succulents,medium
oenothera,yellow,"Annuals, Perennials",low
oenothera,pink,"Annuals, Perennials",low
oenothera,white,"Annuals, Perennials",low
opuntia,yellow,Cactus - Succulents,low
opuntia,pink,Cactus - Succulents,low
opuntia,red,Cactus - Succulents,low
opuntia,white,Cactus - Succulents,low
ornithogalum,orange,"Bulbs, Perennials",low
ornithogalum,yellow,"Bulbs, Perennials",low
ornithogalum,white,"Bulbs, Perennials",low
osteospermum,yellow,"Annuals, Perennials, Shrubs",low
osteospermum,purple,"Annuals, Perennials, Shrubs",low
osteospermum,blue,"Annuals, Perennials, Shrubs",low
osteospermum,pink,"Annuals, Perennials, Shrubs",low
osteospermum,white,"Annuals, Perennials, Shrubs",low
osteospermum,cream,"Annuals, Perennials, Shrubs",low
oxalis,purple,"Annuals, Bulbs, Perennials",low
oxalis,yellow,"Annuals, Bulbs, Perennials",low
oxalis,pink,"Annuals, Bulbs, Perennials",low
oxalis,white,"Annuals, Bulbs, Perennials",low
paeonia,yellow,"Perennials, Shrubs",low
paeonia,red,"Perennials, Shrubs",low
paeonia,purple,"Perennials, Shrubs",low
paeonia,pink,"Perennials, Shrubs",low
paeonia,white,"Perennials, Shrubs",low
papaver,yellow,"Annuals, Perennials",low
papaver,red,"Annuals, Perennials",low
papaver,purple,"Annuals, Perennials",low
papaver,pink,"Annuals, Perennials",low
