scientific_name,name
Choisya,Mexican orange
Choisya,Mexican-orange
Choisya,Mexican-orangeblossom
Chrysalidocarpus ,
Chrysalidocarpus ,Madagascar palm
Chrysalidocarpus ,chrysalidocarpus palm
Chrysanthemum,
Chrysanthemum,crowndaisy
Chrysanthemum,
Chrysanthemum,Indian chrysanthemum
Chrysanthemum,daisy
Chrysanthemum,
Chrysanthemum,Chrysanthemum
Chrysanthemum,florist's daisy
Chrysanthemum,florist's chrysanthemum
Chrysothamnus,rabbitbrush 
Chusquea,
Cineraria,cineraria 
Cirsium,
Citrus,Citron
Cladophora ,Cladophora Ball
Cladophora ,Lake Ball
Cladophora ,Marimo Ball
Cladophora ,Moss Ball
Cladophora ,Mossimo
Clarkia,godetia
Clarkia,satin-flower
Clarkia,farewell to spring
Clarkia,fairyfan
Clematis,
Clematis,
Clematis,
Cleome,beeplant
Cleome,spider flower
Cleome,spiderflower
Cleyera,sakaki
Cleyera,hong dan bi
Cocculus,Carolina coralbead
Cocculus,Carolina moonseed
Cocculus,Carolina snailseed
Cocculus,coralbead
Cocculus,coralberry
Cocculus,redberry moonseed
Cocculus,laurel-leaf snailseed
Cocculus,queen coralbead
Cocculus,coralbead
Cochinchinochloa,
Cocos,Coconut
Cocos,Coconut Palm
Codariocalyx,tick trefoil
Codiaeum,
Codiaeum ,Croton Leaves
Coffea,coffee
Cola,Kola
Colanthelia,
Coleus,
Colocasia,cocoyam
Colocasia,Calalu
Colocasia,dasheen. Eddo
Colocasia,coco yam
Colocasia,wild taro
Colocasia,elephant's-ear
Colocasia,
Consolida,eastern larkspur
Consolida,rocket larkspur
Consolida,doubtful knight's spur
Consolida,doubtful knight
Consolida,field larkspur
Consolida,forking larkspur
Consolida,royal knight's-spur
Consolida,knight's-spur
Consolida,larkspur
Constantia,
Convallaria,lily-of-the-valley
Convallaria,European lily of the valley
Convallaria,lily of the valley
Convallaria,convallaria
Coprosma,creeping mirrorplant
Coprosma,looking-glass-bush
Coprosma,looking-glass-plant
Coprosma,New Zealand mirrorbush
Coprosma,tree-bedstraw
Coprosma,mirrorplant
Cordyline,cabbage-palm
Cordyline,cabbagetree
Cordyline,fountain-dracaena
Cordyline,giant-dracaena
Cordyline,grass-palm
Cordyline,New Zealand cabbagetree
Cordyline,palm-lily
Cordyline,
Cordyline,cordyline 
Cordyline,
Coreopsis,tickseed
Coreopsis,coreopsis
Cornus,Siberian dogwood
Cornus,Tartarian dogwood
Cornus,White dogwood
Cornus,red-osier dogwood
Cornus,dogwood
Cortaderia,Pampas Grass
Cortaderia,silver pampas grass
Cortaderia,Uruguayan pampasgrass
Cortaderia,Pampas grass
Corylus,Common Filbert
Corylus,European Filbert
Corylus,Common Hazelnut
Cosmos,
Cosmos,cosmos 
Costus  ,costus
Cotinus,European smoketree
Cotinus,fustet
Cotinus,smokebush
Cotinus,Venetian-sumac
Cotinus,wigtree
Cotinus,young fustic
Cotinus,smoketree 
Cotoneaster,
Craspedia,drumsticks
Craspedia,
Craspedia,
Crassula,
Crataegus,
Crocosmia,Autumn Gold
Crocosmia,Garden Montbretia
Crocosmia,crocosmia
Crocosmia,montbretia
Crossandra,firecracker-flower
Crossandra,firecracker-plant
Crossandra,
Croton,
Cryptochloa,
Cryptomeria,Japanese Cedar
Ctenanthe,
Cucurbita,"Common Gourd, Common Pumpkin"
Cunninghamia,
Cupressus,Arizona smooth cypress
Cupressus,Cuyamaca cypress
Cupressus,cedro
Cupressus,cedro blanco
Cupressus,Italian cypress
Cupressus,Mediterranean cypress
Cupressus,Cypress
Cupressus,Leyland cypress
Curculigo,palm-grass
Curculigo,curculigo 
Curcuma ,
Curcuma ,East Indian arrowroot 
Curcuma ,hidden-lily
Cyathea,black tree fern 
Cyathea,Tree Fern
Cyathea,helecho gigante 
Cycas,cycad
Cyclamen,
Cydonia,Quince
Cymbalaria,Kenilworth ivy
Cymbalaria,coliseum-ivy
Cymbalaria,ivy-leaf-toadflax
Cymbalaria,mother-of-thousands
Cymbalaria,Oxford-ivy
Cymbalaria,pennywort
Cymbalaria,wandering-sailor
Cymbalaria,
Cymbidium,Boat Orchid
Cynara,Globe Artichoke
Cynara,artichoke
Cynodon,Bermuda grass
Cynodon,common couch
Cynodon,green couch
Cynodon,Indian couch
Cynodon,plain couch
Cynodon,devilgrass
Cynodon,Cynodon
Cynodon,Bermudagrass
Cyperus,
Cyperus,papyrus 
Cyperus,Egyptian paperplant
Cyperus,"Papyrus, nutgrass"
Cyperus,flatsedge
Cypripedium,lady's slipper
Cyrtochloa,
Cyrtomium,Asian netvein hollyfern
Cyrtomium,netvein hollyfern
Cyrtomium,Asiatic holly fern
Cytisus,Scotch Broom
Dahlia,garden dahlia
Dahlia,pinnate dahlia
Dahlia,Georgine
Dahlia,Georgina
Dahlia,
Danae,alexandrialager
Danae,
Danaea,danafern
Daphne,daphne
Datura,
Daucus,carrot
Davallia,lacy hare's-foot fern
Davallia,
Davidsea,
Decaryochloa,
Delosperma,delosperma 
Delphinium,
Delphinium,
Delphinium,
Delphinium,Candle larkspur
Delphinium,alpine delphinium
Delphinium,Siberian larkspur
Delphinium,
Delphinium,
Delphinium,Larkspur
Dendranthema ,Mother's daisy
Dendranthema ,arctic daisy
Dendrobium,sekikoku
Dendrobium,vinterdendrobium
Dendrobium,
Dendrocalamus,Bamboo shoots
Dendrocalamus,Giant Bamboo
Descurainia,Flixweed
Descurainia,Tansy Mustard
Descurainia,pinnate tansymustard
Descurainia,flaxweed tansymustard
Descurainia,flixweed tansymustard
Descurainia,herb-sophia
Descurainia,tansymustard
Descurainia,herb sophia
Descurainia,tansy mustard
Desmostachya,
Diandrolyra,
Dianthus,Deptford pink
Dianthus,"grass pink, "
Dianthus,sweet-William
Dianthus,Border carnation
Dianthus,Clove Pink
Dianthus,Divine-flower
Dianthus,Gilly-flower
Dianthus,annual pink
Dianthus,China pink
Dianthus,dianthus
Dianthus,maiden pink
Dianthus,meadow pink
Dianthus,laced pink
Dianthus,cottage pink
Dianthus,garden pink
Dianthus,feathered pink
Dianthus,Carnation
Dianthus,Pinks
Dicentra,bleeding heart 
Dicentra,bleeding heart
Dicentra,Common bleeding hearts
Dichelostemma,fork-tooth ookow
Dichelostemma,ookow
Dichelostemma,snakelily 
Didymogonyx,
Dieffenbachia  ,
Digitalis,purple foxglove
Digitalis,foxglove 
Dimorphotheca,Cape marigold
Dinochloa,
Dipsacus,teasel
Diselma,
Doritis,
Doritis,
Doryanthes,giant-lily
Doryanthes,Gymea-lily
Doryanthes,
Dracaena,palmillo
Dracaena,doftdracena
Dracaena,fragrant dracaena
Dracaena,
Dracaena,kantdracena
Dracaena,dragontree
Dracaena,
Dracaena,song-of-India
Dracaena,Belgian evergreen
Dracaena,Lucky-bamboo
Dracaena,ribbonplant
Dracaena,
Dracaena,gold dust dracaena
Dracaena,spotted dracaena
Dracaena,
Dracunculus,
Dracunculus,common dracunculus
Drepanostachyum,Bamboo
Dryandra ,
Drynaria,
Drynaria,
Dypsis,yellow butterfly palm
Dypsis,areca palm
Dypsis,cane palm
Dypsis,golden-yellow palm
Dypsis,yellow palm
Dypsis ,Butterfly palm
Dypsis ,betefaka
Dypsis  ,Butterfly palm
Echeveria,molded-wax
Echeveria,agave-echeveria
Echeveria,Mexican snowball
Echeveria,Mexican-gem
Echeveria,pearl echeveria
Echeveria,white Mexican-rose
Echeveria,
Echinacea,eastern purple coneflower
Echinacea,purple coneflower
Echinacea,purple coneflower
Echinops,blue globe thistle
