common_name,scientific_name,color
Pinks,dianthus,pink
,diascia,white
,diascia,orange
,diascia,yellow
,diascia,purple
,diascia,pink
Common bleeding hearts,dicentra,red
Common bleeding hearts,dicentra,white
Common bleeding hearts,dicentra,pink
,dietes,yellow
,dietes,white
,dietes,purple
,dietes,brown
foxglove,digitalis,white
foxglove,digitalis,red
foxglove,digitalis,yellow
foxglove,digitalis,purple
foxglove,digitalis,pink
,dracula,black
,dracula,white
,dracula,red
,dracula,yellow
,dracula,purple
,dracula,lavender
,dryas,cream
,dryas,yellow
,dryas,white
purple coneflower,echinacea,white
purple coneflower,echinacea,orange
purple coneflower,echinacea,yellow
purple coneflower,echinacea,purple
purple coneflower,echinacea,pink
purple coneflower,echinacea,red
purple coneflower,echinacea,brown
great globe thistle,echinops,green
great globe thistle,echinops,blue
great globe thistle,echinops,white
great globe thistle,echinops,gray
great globe thistle,echinops,purple
,emilia,orange
,emilia,red
,emilia,purple
,epimedium,white
,epimedium,red
,epimedium,yellow
,epimedium,purple
,epimedium,pink
,epimedium,orange
climbing cactus,epiphyllum,white
climbing cactus,epiphyllum,red
climbing cactus,epiphyllum,yellow
climbing cactus,epiphyllum,purple
climbing cactus,epiphyllum,pink
climbing cactus,epiphyllum,orange
,eranthis,yellow
,eranthis,white
,eremurus,orange
,eremurus,yellow
,eremurus,pink
,eremurus,white
eryngo,eryngium,green
eryngo,eryngium,blue
eryngo,eryngium,purple
,erysimum,orange
,erysimum,red
,erysimum,yellow
,erythronium,white
,erythronium,red
,erythronium,yellow
,erythronium,purple
,erythronium,pink
,eschscholzia,orange
,eschscholzia,yellow
,euphorbia,yellow
prairie gentian,eustoma,white
prairie gentian,eustoma,blue
prairie gentian,eustoma,lilac
prairie gentian,eustoma,purple
prairie gentian,eustoma,pink
prairie gentian,eustoma,cream
,felicia,blue
,felicia,white
,felicia,lilac
,felicia,yellow
,felicia,purple
showy forsythia,forsythia,yellow
,freesia,white
,freesia,red
,freesia,yellow
,freesia,orange
,freesia,pink
,freesia,purple
,freesia,lavender
mission bells,fritillaria,red
mission bells,fritillaria,green
mission bells,fritillaria,orange
mission bells,fritillaria,yellow
,fuchsia,fuchsia
,fuchsia,white
,fuchsia,orange
,fuchsia,yellow
,fuchsia,red
,fuchsia,purple
blanket-flower,gaillardia,orange
blanket-flower,gaillardia,red
blanket-flower,gaillardia,yellow
blanket-flower,gaillardia,purple
blanket-flower,gaillardia,brown
,galanthus,white
,gardenia,cream
,gardenia,yellow
,gardenia,white
,gazania,white
,gazania,red
,gazania,orange
,gazania,yellow
,gazania,pink
three-flower gentian,gentiana,blue
three-flower gentian,gentiana,white
three-flower gentian,gentiana,red
three-flower gentian,gentiana,yellow
three-flower gentian,gentiana,purple
Cranesbill,geranium,white
Cranesbill,geranium,blue
Cranesbill,geranium,red
Cranesbill,geranium,purple
Cranesbill,geranium,pink
Transvaal Daisy,gerbera,blue
,geum,white
,geum,red
,geum,yellow
,geum,orange
,geum,pink
,gladiolus,green
,gladiolus,white
,gladiolus,red
,gladiolus,yellow
,gladiolus,purple
,gladiolus,pink
,gladiolus,lavender
glory-lily,gloriosa,orange
glory-lily,gloriosa,red
glory-lily,gloriosa,yellow
glory-lily,gloriosa,pink
globe amaranth,gomphrena,white
globe amaranth,gomphrena,red
globe amaranth,gomphrena,yellow
globe amaranth,gomphrena,orange
globe amaranth,gomphrena,pink
globe amaranth,gomphrena,purple
,grevillea,white
,grevillea,orange
,grevillea,red
,grevillea,yellow
,grevillea,purple
Baby’s Breath,gypsophila,white
Baby’s Breath,gypsophila,pink
,hamamelis,red
,hamamelis,yellow
sneezeweed,helenium,red
sneezeweed,helenium,orange
sneezeweed,helenium,yellow
sneezeweed,helenium,brown
sunflower,helianthus,orange
sunflower,helianthus,red
sunflower,helianthus,yellow
sunflower,helianthus,purple
sunflower,helianthus,cream
sunflower,helianthus,brown
,heliconia,green
,heliconia,orange
,heliconia,red
,heliconia,yellow
,heliconia,pink
green hellebore,helleborus,green
green hellebore,helleborus,black
green hellebore,helleborus,white
green hellebore,helleborus,yellow
green hellebore,helleborus,purple
green hellebore,helleborus,pink
Rosemallow,hibiscus,white
Rosemallow,hibiscus,blue
Rosemallow,hibiscus,orange
Rosemallow,hibiscus,red
Rosemallow,hibiscus,yellow
Rosemallow,hibiscus,pink
Rosemallow,hibiscus,purple
hippeastrum,hippeastrum,green
hippeastrum,hippeastrum,white
hippeastrum,hippeastrum,orange
hippeastrum,hippeastrum,yellow
hippeastrum,hippeastrum,red
hippeastrum,hippeastrum,pink
plantain lily,hosta,lavender
plantain lily,hosta,white
plantain lily,hosta,purple
,hoya,green
,hoya,white
,hoya,orange
,hoya,red
,hoya,purple
,hoya,pink
Hyacinth,hyacinthus,blue
Hyacinth,hyacinthus,white
Hyacinth,hyacinthus,red
Hyacinth,hyacinthus,yellow
Hyacinth,hyacinthus,purple
Hyacinth,hyacinthus,pink
Hyacinth,hyacinthus,orange
Hortensia,hydrangea,blue
Hortensia,hydrangea,white
Hortensia,hydrangea,red
Hortensia,hydrangea,purple
Hortensia,hydrangea,pink
St. John’s Wort,hypericum,yellow
,hypoxis,yellow
,hyssopus,blue
,hyssopus,purple
,hyssopus,pink
,hyssopus,white
candytuft,iberis,lilac
candytuft,iberis,white
candytuft,iberis,pink
,impatiens,blue
,impatiens,white
,impatiens,red
,impatiens,orange
,impatiens,purple
,impatiens,pink
,impatiens,yellow
Morning glory,ipomoea,white
Morning glory,ipomoea,blue
Morning glory,ipomoea,red
Morning glory,ipomoea,yellow
Morning glory,ipomoea,purple
,iris,black
,iris,blue
,iris,white
,iris,orange
,iris,yellow
,iris,purple
,iris,pink
,iris,red
,iris,brown
,ixora,white
,ixora,orange
,ixora,red
,ixora,yellow
,ixora,pink
,jacaranda,blue
,jacaranda,purple
,jasione,blue
,jasione,purple
Jasmine,jasminum,yellow
Jasmine,jasminum,white
,justicia,white
,justicia,orange
,justicia,red
,justicia,yellow
,justicia,pink
,justicia,cream
widow's-thrill,kalanchoe,orange
widow's-thrill,kalanchoe,red
widow's-thrill,kalanchoe,pink
widow's-thrill,kalanchoe,white
,kalmia,lavender
,kalmia,white
,kalmia,purple
,kalmia,pink
,kerria,yellow
redhot poker,kniphofia,orange
redhot poker,kniphofia,cream
redhot poker,kniphofia,red
redhot poker,kniphofia,yellow
,kolkwitzia,yellow
,kolkwitzia,white
,kolkwitzia,pink
,kunzea,white
,kunzea,red
,kunzea,yellow
,kunzea,purple
,kunzea,pink
,lantana,white
,lantana,orange
,lantana,red
,lantana,yellow
,lantana,pink
,lantana,lavender
sweet pea,lathyrus,white
sweet pea,lathyrus,blue
sweet pea,lathyrus,scarlet
sweet pea,lathyrus,red
sweet pea,lathyrus,yellow
sweet pea,lathyrus,magenta
sweet pea,lathyrus,pink
sweet pea,lathyrus,purple
sweet pea,lathyrus,cream
sweet pea,lathyrus,lavender
French lavender,lavandula,white
French lavender,lavandula,blue
French lavender,lavandula,purple
French lavender,lavandula,pink
French lavender,lavandula,lavender
,leontopodium,yellow
snowflake,leucojum,green
snowflake,leucojum,white
,lewisia,white
,lewisia,red
,lewisia,orange
,lewisia,purple
,lewisia,pink
prairie-pine,liatris,rose
prairie-pine,liatris,violet
prairie-pine,liatris,white
prairie-pine,liatris,purple
prairie-pine,liatris,pink
prairie-pine,liatris,lavender
lily,lilium,red
lily,lilium,yellow
lily,lilium,orange
lily,lilium,white
Mediterranean sealavender,limonium,blue
Mediterranean sealavender,limonium,white
Mediterranean sealavender,limonium,yellow
Mediterranean sealavender,limonium,purple
Mediterranean sealavender,limonium,pink
,lobelia,blue
,lobelia,white
,lobelia,red
,lobelia,purple
,lobelia,pink
honeysuckle,lonicera,white
honeysuckle,lonicera,red
honeysuckle,lonicera,yellow
honeysuckle,lonicera,orange
honeysuckle,lonicera,pink
White Lupine,lupinus,blue
White Lupine,lupinus,white
White Lupine,lupinus,yellow
White Lupine,lupinus,purple
White Lupine,lupinus,pink
,lycoris,white
,lycoris,orange
,lycoris,yellow
,lycoris,red
,lycoris,pink
Magnolia,magnolia,yellow
Magnolia,magnolia,white
Magnolia,magnolia,purple
Magnolia,magnolia,pink
,malva,white
,malva,purple
,malva,pink
,mandevilla,yellow
,mandevilla,red
,mandevilla,white
,mandevilla,pink
,mimosa,white
,mimosa,purple
,mimosa,pink
,monarda,red
,monarda,white
,monarda,purple
,monarda,pink
Grape Hyacinth,muscari,yellow
Grape Hyacinth,muscari,blue
Grape Hyacinth,muscari,pink
Grape Hyacinth,muscari,white
forget-me-not,myosotis,yellow
forget-me-not,myosotis,blue
forget-me-not,myosotis,pink
forget-me-not,myosotis,white
,myrtus,white
cream daffodil,narcissus,yellow
cream daffodil,narcissus,white
lotus,nelumbo,yellow
lotus,nelumbo,white
lotus,nelumbo,pink
,nemesia,blue
,nemesia,white
,nemesia,orange
,nemesia,red
,nemesia,purple
,nemesia,pink
,nemesia,yellow
,nemesia,cream
,nemophila,blue
,nemophila,purple
,nepeta,blue
,nepeta,white
,nepeta,yellow
,nepeta,purple
,nepeta,pink
Guernsey Lily,nerine,orange
Guernsey Lily,nerine,red
Guernsey Lily,nerine,pink
Guernsey Lily,nerine,white
,nerium,white
,nerium,red
,nerium,yellow
,nerium,purple
,nerium,pink
,nerium,cream
Nutmeg Flower,nigella,yellow
Nutmeg Flower,nigella,blue
Nutmeg Flower,nigella,pink
Nutmeg Flower,nigella,white
,obregonia,yellow
,obregonia,white
,obregonia,pink
,oenothera,yellow
,oenothera,pink
,oenothera,white
,opuntia,red
,opuntia,yellow
,opuntia,pink
,opuntia,white
garden star-of-Bethlehem,ornithogalum,yellow
garden star-of-Bethlehem,ornithogalum,orange
garden star-of-Bethlehem,ornithogalum,white
,osteospermum,blue
,osteospermum,white
,osteospermum,yellow
,osteospermum,purple
,osteospermum,pink
,osteospermum,cream
triangeloxalis,oxalis,yellow
triangeloxalis,oxalis,purple
triangeloxalis,oxalis,pink
triangeloxalis,oxalis,white
mountain peony,paeonia,white
mountain peony,paeonia,red
mountain peony,paeonia,yellow
mountain peony,paeonia,purple
mountain peony,paeonia,pink
poppy,papaver,white
poppy,papaver,red
poppy,papaver,yellow
poppy,papaver,orange
poppy,papaver,pink
poppy,papaver,purple
passionflower,passiflora,white
passionflower,passiflora,purple
passionflower,passiflora,blue
pelargonium,pelargonium,white
pelargonium,pelargonium,orange
pelargonium,pelargonium,red
pelargonium,pelargonium,purple
pelargonium,pelargonium,pink
,penstemon,white
,penstemon,blue
,penstemon,red
,penstemon,yellow
,penstemon,purple
,perovskia,blue
,perovskia,purple
petunia,petunia,blue
petunia,petunia,white
petunia,petunia,red
petunia,petunia,yellow
petunia,petunia,purple
petunia,petunia,pink
,phacelia,blue
,phacelia,purple
phlox,phlox,rose
phlox,phlox,white
phlox,phlox,red
phlox,phlox,yellow
phlox,phlox,purple
phlox,phlox,pink
phlox,phlox,magenta
phlox,phlox,lavender
,platycodon,blue
,platycodon,purple
,platycodon,pink
,platycodon,white
,plumbago,blue
,plumbago,white
,plumeria,yellow
,plumeria,red
,plumeria,white
,plumeria,pink
Solomon's seal,polygonatum,green
Solomon's seal,polygonatum,white
Solomon's seal,polygonatum,pink
,potentilla,white
,potentilla,red
,potentilla,yellow
,potentilla,purple
,potentilla,pink
,primula,green
,primula,blue
,primula,white
,primula,orange
,primula,red
,primula,purple
,primula,pink
,primula,yellow
,protea,green
,protea,white
,protea,orange
,protea,yellow
,protea,red
,protea,purple
plum,prunus,red
plum,prunus,white
plum,prunus,purple
plum,prunus,pink
,pulmonaria,blue
,pulmonaria,purple
,pulmonaria,pink
,pulmonaria,white
,quesnelia,yellow
,quesnelia,red
,quesnelia,blue
,quesnelia,pink
Corpse Flower,rafflesia,white
Corpse Flower,rafflesia,brown
renoncules,ranunculus,red
renoncules,ranunculus,yellow
renoncules,ranunculus,pink
renoncules,ranunculus,white
Rhododendron,rhododendron,white
Rhododendron,rhododendron,orange
Rhododendron,rhododendron,gold
Rhododendron,rhododendron,red
Rhododendron,rhododendron,pink
Rhododendron,rhododendron,purple
,rondeletia,yellow
,rondeletia,red
,rondeletia,white
,rondeletia,pink
damask rose,rosa,white
damask rose,rosa,red
damask rose,rosa,yellow
damask rose,rosa,purple
damask rose,rosa,pink
Coneflower,rudbeckia,green
Coneflower,rudbeckia,black
Coneflower,rudbeckia,orange
Coneflower,rudbeckia,red
Coneflower,rudbeckia,yellow
Coneflower,rudbeckia,brown
Sage,salvia,red
Sage,salvia,blue
Sage,salvia,pink
Sage,salvia,white
,sandersonia,orange
,sandersonia,yellow
,saxifraga,white
,saxifraga,red
,saxifraga,yellow
,saxifraga,purple
,saxifraga,pink
starflower pincushions,scabiosa,blue
starflower pincushions,scabiosa,white
starflower pincushions,scabiosa,red
starflower pincushions,scabiosa,yellow
starflower pincushions,scabiosa,purple
starflower pincushions,scabiosa,pink
,scilla,blue
,scilla,purple
,scilla,white
,sedum,white
,sedum,orange
,sedum,red
,sedum,yellow
,sedum,purple
,sedum,pink
European goldenrod,solidago,yellow
Thunberg's meadowsweet,spiraea,white
Thunberg's meadowsweet,spiraea,yellow
Thunberg's meadowsweet,spiraea,purple
Thunberg's meadowsweet,spiraea,pink
Thunberg's meadowsweet,spiraea,cream
Bird of Paradise,strelitzia,blue
Bird of Paradise,strelitzia,orange
Bird of Paradise,strelitzia,yellow
Bird of Paradise,strelitzia,red
Bird of Paradise,strelitzia,purple
Lilac,syringa,blue
Lilac,syringa,white
Lilac,syringa,red
Lilac,syringa,yellow
Lilac,syringa,pink
Marigold,tagetes,orange
Marigold,tagetes,yellow
Marigold,tagetes,white
Tansy,tanacetum,yellow
Tansy,tanacetum,white
,taraxacum,yellow
,taraxacum,white
,tigridia,white
,tigridia,scarlet
,tigridia,orange
,tigridia,red
,tigridia,yellow
,tigridia,pink
,tigridia,cream
,torenia,blue
,torenia,white
,torenia,yellow
,torenia,purple
,torenia,pink
oyster plant,tradescantia,blue
oyster plant,tradescantia,white
oyster plant,tradescantia,red
oyster plant,tradescantia,purple
oyster plant,tradescantia,pink
tricyrtis,tricyrtis,yellow
tricyrtis,tricyrtis,red
tricyrtis,tricyrtis,white
tricyrtis,tricyrtis,purple
,trillium,white
,trillium,red
,trillium,yellow
,trillium,purple
,trillium,pink
,trillium,maroon
,trollius,orange
,trollius,yellow
,trollius,white
,tropaeolum,orange
,tropaeolum,red
,tropaeolum,yellow
,tropaeolum,purple
,tropaeolum,cream
,ulex,yellow
,ursinia,orange
,ursinia,red
,ursinia,yellow
,valeriana,lavender
,valeriana,white
,valeriana,pink
,verbascum,white
,verbascum,red
,verbascum,yellow
,verbascum,purple
,verbascum,pink
,verbena,red
,verbena,white
,verbena,purple
,verbena,pink
Spiked Speedwell,veronica,blue
Spiked Speedwell,veronica,purple
Spiked Speedwell,veronica,pink
Spiked Speedwell,veronica,white
Culver's Root,veronicastrum,white
Culver's Root,veronicastrum,purple
Culver's Root,veronicastrum,pink
periwinkle,vinca,red
periwinkle,vinca,white
periwinkle,vinca,purple
periwinkle,vinca,pink
,viola,violet
,viola,blue
,viola,white
,viola,yellow
,viola,cream
Bugle Lily,watsonia,white
Bugle Lily,watsonia,orange
Bugle Lily,watsonia,red
Bugle Lily,watsonia,purple
Bugle Lily,watsonia,pink
,weigela,yellow
,weigela,red
,weigela,white
,weigela,pink
wisteria,wisteria,pink
wisteria,wisteria,white
wisteria,wisteria,purple
wisteria,wisteria,blue
,xanthisma,yellow
,xanthisma,purple
,xanthisma,white
,xeranthemum,white
,xeranthemum,purple
,xeranthemum,pink
,xerochrysum,red
,xerochrysum,orange
,xerochrysum,yellow
,xerochrysum,purple
,xerochrysum,pink
western turkey-beard,xerophyllum,cream
,yucca,green
,yucca,white
Arum Lily,zantedeschia,black
Arum Lily,zantedeschia,white
Arum Lily,zantedeschia,orange
Arum Lily,zantedeschia,yellow
Arum Lily,zantedeschia,purple
Arum Lily,zantedeschia,pink
,zephyranthes,yellow
,zephyranthes,pink
,zephyranthes,white
elegant zinnia,zinnia,white
elegant zinnia,zinnia,red
elegant zinnia,zinnia,orange
elegant zinnia,zinnia,yellow
elegant zinnia,zinnia,pink
elegant zinnia,zinnia,purple
,zygopetalum,red
,zygopetalum,blue
,zygopetalum,purple
,zygopetalum,white
