name,scientific_name
Ninebark,Physocarpus
Oak,Quercus
Oat Grass,Helictotrichon
Oregon Grapeholly,Mahonia
Oriental Poppy,Papaver
Ornamental Grass,Miscanthus
Pachysandra,Pachysandra
Pampas Grass,Cortaderia
Parrotia,Parrotia
Parrot's Feather,Myriophyllum
Parsley,Petroselinum
Patio Peach,Prunus
Pawpaw,Asimina
Peach,Prunus
Peacock Moss,Selaginella
Pear,Pyrus
Pecan,Carya
Peony,Paeonia
Periwinkle,Vinca
Persimmon,Diospyros
Phlox,Phlox
Pickeral Rush,Pontederia
Pieris,Pieris
Pincushion Flower,Scabiosa
Pine,Pinus
Planetree,Platanus
Plum,Prunus
Plume Grass,Erianthus
Pomegranate,Punica
Poplar,Populus
Primrose,Oenothera
Privet,Ligustrum
Pyracantha,Pyracantha
Radican Sword,Echinodorus
Raspberry,Rubus
Rattlesnake Orchid,Goodyera
Red Poker Plant,Kniphofia
Redbud,Cercis
Reed Grass,Calamagrostis
Rhododendron,Azalea
Rhododendron,Rhododendron
Ribbon Grass,Phalaris
Rose,Rosa
Rose of Sharon,Hibiscus
Rosemary,Rosemarunus
Russian Olive,Elaeagnus
Russian Sage,Perovskia
Sage,Artemisia
Salvia,Salvia
Sand Cherry,Prunus
Santolina,Santolina
Sarvis,Amelanchier
Sassafras,Sassafras
Scabiosa,Scabiosa
Scouring Bush,Equisetum
Scuppernong Grapes,Vitis
Sedge,Carex
Sedum,Sedum
Sensitive Fern,Onoclea
Serviceberry,Amelanchier
Shasta Daisy,Leucanthemum
Shooting Star,Dodecatheon
Silk Tree,Albizia
Silverbell,Halesia
Smoketree,Cotinus
Snowbell,Styrax
Snowberry,Symphoricarpos
Solomon's Seal,Polygonatum
Sourwood,Oxydendrum
Spearmint,Mentha
Speedwell,Veronica
Spicebush,Lindera
Spiderwort,Tradescantia
Spirea,Spiraea
Spleenwort,Asplenium
Spring Beauty,Claytonia
Spruce,Picea
Spurge,Pachysandra
St. Johnswort,Hypericum
Star of Bethlehem,Ornithogalum
Stokes' Aster,Stokesia
Stonecrop,Sedum
Sundrops,Oenothera
Sweet Cherry,Prunus
Sweet Shrub,Calycanthus
